Room Number,Room Name,Location,Capacity,Category,Furniture Type,Digital Projection,Projector Screen,DVD,VHS,Visualiser,Radio Mic,TV monitor,Interactive Whiteboard,Whiteboard (s),Other,Black Out Blinds,Telephone Extension,Comments,Space controlled by 
AVA.G.46,AVA.G.46 - Photography Darkroom,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to AVA bookings only,ADI
AVA.G.48,AVA.G.48 - Seminar Room,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,,ADI
DL.3.02,DL.3.02,Docklands Library,30,flat room,chairs with writing tablets,●,●,●,●,,,,,●●,,,x6062,,Facilties 
DL.3.03,DL.3.03,Docklands Library,30,flat room,chairs with writing tablets,●,●,●,●,,,,,●●,,,x6065,,Facilties 
DL.3.04,DL.3.04,Docklands Library,30,flat room,tables and chairs,●,●,●,●, ,,,,●●,,,x2844,,Facilties 
DL.3.05,DL.3.05,Docklands Library,30,flat room,tables and chairs,●,●,●,●,,,,,●●,,,x6066,,Facilties 
DL.3.06,DL.3.06,Docklands Library,25,flat room,tables and chairs,●,●,●,●,,,,,●●,,,x6063,,Facilties 
DL.3.12,DL.3.12,Docklands Library,25,flat room,tables and chairs,●,●,●,●,,,,,●●,,,x6070,Not in use,Facilties 
DL.3.14,DL.3.14,Docklands Library,25,flat room,tables and chairs,●,●,●,●,,,,,●,,,x6067,Not in use,Facilties 
DL3.18,DL3.18,Docklands Library,25,flat room,tables and chairs,●,,●,●, ,,,,●●,,,x6068,Not in use,Facilties 
DLD,DLD - Docklands Library Dockside,Docklands Library,multi-use,exhibition space,None,,,,,,,,,,,,N/A,exhibition space only; individual bookings subject to separate risk assessments,Facilties 
DLF,DLF - Docklands Library Foyer,Docklands Library,multi-use,exhibition space,None,,,,,,,,,,,,N/A,exhibition space only; individual bookings subject to separate risk assessments,Facilties 
 DLHA,DLHA – Docklands Hub Atrium,East Building - Docklands Hub,multi-use,exhibition space,None,,,,,,,,,,,,N/A,Bookings subject to approval from Student Support -Risk Assessment maybe required,Facilties 
